CD TYPE STATUT (statuts);CODE STATUT (statuts);LABEL STATUT (statuts);LB TYPE STATUT (statuts);CD NOM (statuts)
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;122329
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;123960
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;126034
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;127223
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128970
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;108003
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;81878
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;82903
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;83499
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;126332
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;94959
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;94945
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;110987
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;116109
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;110313
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5494
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;6254
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4988
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5514
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128315
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;93623
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65290
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;125259
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3896
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;6182
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;612202
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;118474
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;142459
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;104879
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;119952
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;94717
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;105400
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88632
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96861
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;199909
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1660
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4686
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3945
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2767
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3590
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96191
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5516
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;121746
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;121959
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;87143
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;122329
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;6748
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5343
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128315
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;103245
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;105239
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65161
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96844
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99496
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;109870
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;126124
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;36949
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;33300
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;39075
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;110987
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;138634
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;66330
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65199
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60418
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2486
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;12505
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;219756
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;249551
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60127
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3590
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;39279
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;30496
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60383
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1972
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1984
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67420
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3811
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2481
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128062
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;41891
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1984
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1984
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1998
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2477
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2938
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3089
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2538
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2563
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;814245
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3352
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;77955
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60658
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60468
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60518
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79770
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;84003
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;87693
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;98278
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79301
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;36505
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3422
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3511
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3590
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3582
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4198
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4151
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4669
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79278
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;66330
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67506
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;121065
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67765
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;39824
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;116405
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67606
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65381
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65312
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65891
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;53979
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;119812
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60383
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65899
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;6789
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;115296
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;133675
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;97947
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2616
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2741
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2489
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3120
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3136
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3136
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2514
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60731
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60400
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2887
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;9497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;104349
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60461
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96465
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;53938
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;54384
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;80137
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;197
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;53291
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65199
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;105841
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;80417
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;80911
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;131033
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;85946
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;86156
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2887
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3619
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4665
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2576
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2660
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4488
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3036
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;12208
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;86492
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;87136
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128394
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;129000
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;11777
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;249334
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;83156
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60577
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60577
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;249516
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;84297
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;84626
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88468
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88489
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;113639
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;109139
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88753
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88802
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;248877
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;141406
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;126034
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;117096
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88893
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;92097
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;109506
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;109732
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;248509
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60383
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2801
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2813
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2816
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2534
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;965
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;120691
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;120732
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2477
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;95927
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99410
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3293
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;111297
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;112061
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;116405
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3036
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;40260
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;114664
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;115286
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;98977
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99111
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1950
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1975
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1956
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2741
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2001
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;1995
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3367
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3070
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;240360
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;133721
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;106517
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;107158
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;956
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2411
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2411
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3272
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3283
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3343
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2767
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;2607
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3120
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;127337
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;121785
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;40060
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;35275
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99552
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99881
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;100215
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;100289
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3120
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4665
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3656
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3595
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;3439
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65918
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;104302
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;105162
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;107871
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;64141
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65456
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65477
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65131
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;281
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;197
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;6251
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5093
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;108003
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;108345
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65161
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65115
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;240499
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;11858
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79770
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;23240
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67506
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67765
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67774
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;95889
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;109095
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60345
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60345
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60418
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60383
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79303
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;60518
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79921
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;79921
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;8282
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;8282
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;67257
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;66333
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;91073
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;91322
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;92497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;23673
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;78141
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65451
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;97601
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;103142
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;123841
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;119556
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;593311
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;129032
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65348
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;653286
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;64141
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;64141
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;11777
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128829
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;128829
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;85152
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;86124
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;86124
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;86131
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;86131
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;66832
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;69010
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88493
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88493
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88802
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;89316
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;92614
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;88578
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;91199
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;92497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;92497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;92497
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4770
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4814
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4823
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4901
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;4936
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;95239
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96861
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96861
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;98718
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;98718
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99986
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;65199
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;94698
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96432
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5125
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;102870
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;102870
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;109102
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;94259
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;94259
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;96852
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99139
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;99139
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5494
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;5506
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;111239
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;112590
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;114312
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;115237
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;124407
ZDET;Vrai;Déterminante ZNIEFF;ZNIEFF Déterminantes;124412
